Provincia,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Latitud,Longitud
BUENOS AIRES,Alberti (Est. Andrés Vaccarezza),8260,SI,NO,SI,SI,NO,NO,SI,SI,SI,-35.0330734347841,-60.2806197287099
BUENOS AIRES,Coronel Seguí,146,NO,NO,NO,NO,NO,NO,NO,NO,NO,-34.8681189984321,-60.3939708823404
BUENOS AIRES,Mechita,412,SI,NO,NO,NO,NO,NO,NO,SI,SI,-35.068013673391,-60.4025971632697
BUENOS AIRES,Pla,192,NO,NO,NO,NO,NO,NO,SI,NO,NO,-35.1243819752343,-60.2200612615259
BUENOS AIRES,Villa Grisolía (Est. Achupallas),112,NO,NO,NO,NO,NO,NO,NO,SI,SI,-35.1096178332808,-60.070551324606
BUENOS AIRES,Villa María,24,NO,NO,NO,NO,NO,NO,NO,NO,NO,-34.8881255447686,-60.3469385614883
BUENOS AIRES,Villa Ortiz (Est. Coronel Mom),815,NO,NO,NO,NO,NO,NO,SI,SI,SI,-34.8435329449862,-60.3048498633642
BUENOS AIRES,Barrio Río Salado,265,NO,NO,NO,NO,NO,NO,NO,NO,NO,-35.6936377582584,-58.447313612508
BUENOS AIRES,Loma Verde,657,NO,NO,NO,NO,NO,SI,SI,SI,SI,-35.2747490125694,-58.4041701894263
BUENOS AIRES,Sierra de los Padres,4249,SI,NO,SI,SI,NO,SI,SI,SI,SI,-37.954166706805,-57.7715971022228
BUENOS AIRES,Barrio Ruta 24 Kilómetro 10,0,NO,NO,NO,SI,NO,NO,NO,SI,SI,-34.6882159472973,-58.9574297137089
BUENOS AIRES,Country Club Bosque Real - Barrio Morabo,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,-34.555,-58.935
BUENOS AIRES,General Rodríguez,85315,SI,SI,SI,SI,SI,SI,SI,SI,SI,-34.6079239021063,-58.950282039134
BUENOS AIRES,Barrio Parque General San Martin,421,NO,NO,NO,SI,NO,SI,SI,NO,SI,-34.5673433766504,-58.5843112459936
BUENOS AIRES,Billinghurst,19664,SI,SI,NO,SI,NO,NO,SI,SI,SI,-34.5751071711249,-58.5745828938046
BUENOS AIRES,Ciudad Del Libertador General San Martin,29180,SI,SI,NO,SI,SI,SI,SI,SI,SI,-34.5796986848297,-58.5420144816587
